Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,h5-index,h5-median
Advanced Materials,,2001,A*,0935-9648,,,330,440
Angewandte Chemie International Edition,,2001,A*,1433-7851 ,,,289,371
Chemical Reviews,,2001,A*,1520-6890,,,283,455
Advanced Functional Materials,,2001,A*,1616-301,,,263,342
Chemical Society Reviews,,2001,A*,1460-4744,,,260,393
Chemical engineering journal,,2001,A,1385-8947,,,245,310
Advanced Energy Materials,,2001,A,1614-6832,,,237,326
Journal of the American Chemical Society,,2001,A,0002-7863,,,237,298
ACS Nano,,2001,A,1936-0851 ,,,231,299
Journal of Hazardous Materials,,2001,A,0304-3894,,,228,303
Energy & Environmental Science,,2001,A,1754-5692 ,,,219,318
Applied Catalysis B: Environmental,,2001,A,0926-3373,,,213,268
Molecules,,2001,A,1420-3049,,,203,311
Nature Materials,,2001,A,1476-1122,,,190,297
Advanced Science,,2001,A,2198-3844,,,190,258
Nano Energy,,2001,A,2211-2855,,,185,245
Nature Energy,,2001,A,2058-7546,,,180,328
ACS Catalysis,,2001,A,2155-5435,,,179,236
Journal of Materials Chemistry A,,2001,A,2050-7488,,,178,223
International Journal of Biological Macromolecules,,2001,A,0141-8130,,,174,222
