Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,h5-index,h5-median
The New England Journal of Medicine,-,2003,A*, 0028-4793,,,441,854
The Lancet,-,2003,A*,0140-6736 ,,,375,712
Cell,-,2003,A*,0092-8674,,,317,528
JAMA,-,2003,A*,0098-7484,,,301,510
Nature Medicine,-,2003,A*,1078-8956,,,279,459
International Journal of Molecular Sciences,-,2003,A,1661-6596,,,277,383
Proceedings of the National Academy of Sciences,-,2003,A,0369-8211,,,268,366
International Journal of Environmental Research and Public Health,-,2003,A,1661-7827,,,258,372
PLOS ONE,-,2003,A,1932-6203,,,244,336
BMJ,-,2003,A,0959-8146,,,224,419
Frontiers in Immunology,-,2003,A,1664-3224,,,224,299
Journal of Clinical Oncology,-,2003,A,0732-183X,,,220,320
Signal Transduction and Targeted Therapy,-,2003,A,2095-9907,,,218,419
Nutrients,-,2003,A,2072-6643,,,213,308
Circulation,-,2003,A, 0009-7322,,,212,325
Frontiers in Psychology,-,2003,A,1664-1078,,,205,291
Morbidity and Mortality Weekly Report,-,2003,A,1545-861X,,,204,337
The Lancet Oncology,-,2003,A,1470-2045,,,203,343
JAMA Network Open,-,2003,A,2574-3805,,,189,280
The Lancet Infectious Diseases,-,2003,A,1473-3099,,,186,329
