Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,h5-index,h5-median
Nature,,2005,A*,0028-0836,,,490,784
Science,,2005,A*,1095-9203,,,415,653
Nature Communications,,2005,A*,2041-1723,,,399,509
Cell,,2005,A*,0092-8674,,,317,528
Science of The Total Environment,,2005,A*, 0048-9697,,,312,437
International Journal of Molecular Sciences,,2005,A,1422-0067,,,277,383
Proceedings of the National Academy of Sciences,,2005,A,0027-8424,,,268,366
Sustainability,,2005,A,2071-1050,,,250,328
PLOS ONE,,2005,A,1932-6203,,,244,336
Science Advances,,2005,A, 2375-2548,,,240,309
Scientific Reports,,2005,A,2045-2322,,,234,307
Journal of Hazardous Materials,,2005,A,0304-3894,,,228,303
Nucleic Acids Research,,2005,A,1362-4962,,,223,517
Chemosphere,,2005,A, 0045-6535,,,205,271
Environmental Science & Technology,,2005,A,0013-936X,,,197,274
Environmental Science and Pollution Research,,2005,A,0944-1344,,,190,251
Nature Biotechnology,,2005,A,1087-0156,,,189,336
Journal of Environmental Management,,2005,A,1095-8630,,,184,245
Renewable Energy,,2005,A,0960-1481,,,178,235
Trends in Food Science & Technology,,2005,A,0924-2244,,,177,245
