Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,h5-index,h5-median
Physical Review Letters,,2006,A*,0031-9007,,,201,273
The Astrophysical Journal,,2006,A*,0004-637X,,,169,245
Physical Review D,,2006,A*,2470-0010,,,168,229
IEEE Transactions on Geoscience and Remote Sensing,,2006,A*,0196-2892,,,156,224
Monthly Notices of the Royal Astronomical Society,,2006,A*,0035-8711,,,151,201
Astronomy & Astrophysics,,2006,A,0004-6361,,,149,215
Nature Physics,,2006,A,1745-2473,,,149,215
Journal of High Energy Physics,,2006,A,1126-6708,,,149,210
Nature Photonics,,2006,A,1749-4885,,,147,242
"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,2006,A,2379-190X,,,137,203
Light: Science & Applications,,2006,A,2047-7538 ,,,136,187
Physical Review B,,2006,A,2469-9950 ,,,133,169
"Chaos, Solitons & Fractals",,2006,A,0960-0779,,,129,193
Journal of Molecular Liquids,,2006,A,0167-7322,,,128,172
Physical Review X,,2006,A,2160-3308,,,127,189
Geophysical Research Letters,,2006,A,0094-8276,,,117,153
The European Physical Journal C,,2006,A,1434-6052,,,116,169
Journal of Cosmology and Astroparticle Physics,,2006,A,1475-7516,,,115,149
Advanced Optical Materials,,2006,A,2195-1071,,,113,154
Computer Methods in Applied Mechanics and Engineering,,2006,A,0045-7825,,,110,156
