Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,h5-index,h5-median
Business Strategy and the Environment,,2007,A*,0964-4733,,,159,256
Computers & Education,,2007,A*,0360-1315,,,152,244
Education and Information Technologies,,2007,A*,1573-7608,,,143,201
Technology in Society,,2007,A*, 0160-791X,,,139,214
Resources Policy,,2007,A*,0301-4207,,,133,192
Nature Human Behaviour,,2007,A,2397-3374,,,132,246
Journal of Business Ethics,,2007,A,0167-4544,,,127,175
Land Use Policy,,2007,A,0264-8377,,,120,157
Energy Research & Social Science,,2007,A, 2214-6326,,,117,183
Education Sciences,,2007,A, 2227-7102,,,116,173
Corporate Social Responsibility and Environmental Management,,2007,A,1535-3958,,,116,166
"Environment, Development and Sustainability",,2007,A, 1573-2975,,,111,171
Current Issues in Tourism,,2007,A,1368-3500,,,111,158
Social Science & Medicine,,2007,A,0277-9536,,,108,154
Cities,,2007,A,0264-2751,,,103,167
Sustainable Development,,2007,A,0968-0802,,,102,161
SAGE Open,,2007,A,2158-2440,,,102,147
Annals of Tourism Research,,2007,A,0160-7383,,,100,162
Interactive Learning Environments,,2007,A,1049-4820,,,100,155
Research Policy,,2007,A,0048-7333,,,98,147
